DIABETES,BINGE,CURRENT SMOKE,SEX,RACE,BORN WHERE?,AGE,N, WEIGHTED N ,WEIGHTED %
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,35-39 YEARS,61," 139,351 ",0.494
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,40-44 YEARS,145," 137,034 ",0.485
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,30-34 YEARS,116," 136,532 ",0.484
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,35-39 YEARS,111," 134,683 ",0.477
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,18-25 YEARS,88," 134,194 ",0.475
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,26-29 YEARS,55," 133,941 ",0.475
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,40-44 YEARS,154," 133,115 ",0.472
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,30-34 YEARS,50," 127,815 ",0.453
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,55-59 YEARS,251," 127,276 ",0.451
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,80-84 YEARS,487," 127,064 ",0.450
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,60-64 YEARS,150," 126,274 ",0.447
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,26-29 YEARS,64," 123,162 ",0.436
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,30-34 YEARS,83," 122,559 ",0.434
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,50-54 YEARS,78," 121,507 ",0.430
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,35-39 YEARS,100," 119,810 ",0.424
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,55-59 YEARS,313," 117,517 ",0.416
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,26-29 YEARS,56," 116,770 ",0.414
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,26-29 YEARS,40," 114,348 ",0.405
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,26-29 YEARS,67," 114,334 ",0.405
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,26-29 YEARS,67," 114,031 ",0.404
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,18-25 YEARS,66," 113,097 ",0.401
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,60-64 YEARS,261," 112,400 ",0.398
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,40-44 YEARS,175," 110,850 ",0.393
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,40-44 YEARS,52," 110,745 ",0.392
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,85+ YEARS,455," 104,172 ",0.369
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,35-39 YEARS,79," 100,110 ",0.355
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,35-39 YEARS,40," 99,915 ",0.354
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,30-34 YEARS,80," 95,522 ",0.338
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,45-49 YEARS,55," 92,741 ",0.329
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,60-64 YEARS,303," 90,924 ",0.322
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,26-29 YEARS,49," 90,529 ",0.321
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,30-34 YEARS,47," 89,951 ",0.319
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,26-29 YEARS,26," 85,983 ",0.305
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,50-54 YEARS,239," 85,131 ",0.302
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,55-59 YEARS,77," 78,412 ",0.278
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,65-69 YEARS,127," 78,257 ",0.277
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,26-29 YEARS,27," 78,171 ",0.277
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,55-59 YEARS,119," 76,854 ",0.272
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,35-39 YEARS,40," 72,520 ",0.257
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,50-54 YEARS,65," 71,815 ",0.254
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,40-44 YEARS,33," 71,609 ",0.254
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,45-49 YEARS,46," 69,414 ",0.246
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,30-34 YEARS,37," 68,539 ",0.243
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,35-39 YEARS,54," 67,720 ",0.240
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,40-44 YEARS,79," 67,550 ",0.239
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,65-69 YEARS,236," 66,603 ",0.236
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=BLACK,BORN IN THE US,18-25 YEARS,25," 65,284 ",0.231
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,50-54 YEARS,70," 64,850 ",0.230
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,18-25 YEARS,30," 64,608 ",0.229
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,30-34 YEARS,34," 64,588 ",0.229
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,45-49 YEARS,80," 64,162 ",0.227
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,40-44 YEARS,37," 63,554 ",0.225
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,18-25 YEARS,38," 62,041 ",0.220
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,50-54 YEARS,97," 61,395 ",0.218
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,CHINA",5+ YEARS,40-44 YEARS,35," 60,881 ",0.216
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,55-59 YEARS,41," 59,708 ",0.212
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=ASIANONLY,BORN IN THE US,18-25 YEARS,26," 58,649 ",0.208
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,40-44 YEARS,30," 58,619 ",0.208
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=ASIANONLY,5+ YEARS,40-44 YEARS,41," 57,927 ",0.205
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,"racen=ASIAN,CHINA",5+ YEARS,40-44 YEARS,26," 55,621 ",0.197
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,60-64 YEARS,62," 55,157 ",0.195
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,CHINA",5+ YEARS,35-39 YEARS,22," 54,797 ",0.194
DM=NO,binge=NO,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,30-34 YEARS,44," 54,728 ",0.194
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,30-34 YEARS,38," 54,560 ",0.193
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,35-39 YEARS,43," 54,357 ",0.193
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,18-25 YEARS,32," 53,804 ",0.191
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,50-54 YEARS,22," 53,459 ",0.189
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,65-69 YEARS,173," 52,311 ",0.185
DM=NO,binge=NO,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,26-29 YEARS,28," 50,625 ",0.179
DM=NO,binge=NO,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,18-25 YEARS,46," 50,096 ",0.177
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,45-49 YEARS,33," 49,850 ",0.177
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,5+ YEARS,35-39 YEARS,20," 48,442 ",0.172
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,30-34 YEARS,22," 47,707 ",0.169
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,18-25 YEARS,29," 47,646 ",0.169
